category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	p_adjust_over_represented	p_adjust_under_represented
GO:0005576	3.33663374489299e-17	1	109	1064	extracellular region	CC	4.07536445601229e-13	1
GO:0005615	9.1179223304393e-13	1	71	705	extracellular space	CC	5.56831516719928e-09	1
GO:0022857	2.62451589770506e-09	1	87	778	transmembrane transporter activity	MF	1.06852790581899e-05	1
GO:0071944	7.34019505988199e-09	1	193	1868	cell periphery	CC	2.24132856153497e-05	1
GO:0016491	3.49087510233519e-08	1	78	603	oxidoreductase activity	MF	8.5275096999844e-05	1
GO:0005215	4.54766200052353e-08	1	90	833	transporter activity	MF	9.2575239457324e-05	1
GO:0031224	7.56254050430987e-08	1	137	1541	intrinsic component of membrane	CC	0.000131955528170915	1
GO:0005886	9.17754396640684e-08	1	162	1480	plasma membrane	CC	0.000140118152507116	1
GO:0016021	4.10049502257292e-07	1	131	1512	integral component of membrane	CC	0.000556482735618952	1
GO:0004252	7.26470391185508e-07	0.999999816269901	22	210	serine-type endopeptidase activity	MF	0.00088731093579398	1
GO:0055085	1.03949771451032e-06	0.999999642389859	79	705	transmembrane transport	BP	0.00115422046227537	1
GO:0005506	1.16877657625154e-06	0.999999700433742	22	156	iron ion binding	MF	0.00118961975852802	1
GO:0005978	3.65979239994399e-06	0.999999876950271	8	10	glycogen biosynthetic process	BP	0.00319290745520828	1
GO:0009250	3.65979239994399e-06	0.999999876950271	8	10	glucan biosynthetic process	BP	0.00319290745520828	1
GO:0031226	6.10108875748766e-06	0.999997293594241	48	529	intrinsic component of plasma membrane	CC	0.00496791320559696	1
GO:0008236	1.02706096849318e-05	0.99999691005891	22	230	serine-type peptidase activity	MF	0.00752345278123021	1
GO:0060856	1.05310317913676e-05	0.999998766732218	11	22	establishment of blood-brain barrier	BP	0.00752345278123021	1
GO:0016051	1.10874529279633e-05	0.999997700162635	16	50	carbohydrate biosynthetic process	BP	0.00752345278123021	1
GO:0017171	2.80508442692209e-05	0.999989549453824	28	292	serine hydrolase activity	MF	0.0180322637844349	1
GO:0019991	3.31586491634725e-05	0.999993575968404	14	37	septate junction assembly	BP	0.0202499870441327	1
GO:0044283	4.07744526907432e-05	0.999982993990766	35	222	small molecule biosynthetic process	BP	0.023715198341178	1
GO:0005887	4.59805457831709e-05	0.999978229279247	44	513	integral component of plasma membrane	CC	0.0254561565199682	1
GO:0000271	5.00202846306891e-05	0.999994931973793	9	16	polysaccharide biosynthetic process	BP	0.0254561565199682	1
GO:0033692	5.00202846306891e-05	0.999994931973793	9	16	cellular polysaccharide biosynthetic process	BP	0.0254561565199682	1
GO:0016020	5.21265889998481e-05	0.999962252188045	282	2959	membrane	CC	0.0254669663217658	1
GO:0044281	5.8292184240209e-05	0.999964461015518	100	809	small molecule metabolic process	BP	0.0272968347434822	1
GO:0034637	6.03417830419208e-05	0.999991693862911	10	23	cellular carbohydrate biosynthetic process	BP	0.0272968347434822	1
GO:0048018	6.38209586358683e-05	0.999983812080967	15	106	receptor ligand activity	MF	0.0278396138849463	1
GO:0030546	7.79891126617926e-05	0.999979789943701	15	111	signaling receptor activator activity	MF	0.0328468628293495	1
GO:0020037	8.74749646383762e-05	0.999973679663387	18	137	heme binding	MF	0.0354770999906835	1
GO:0046906	9.00434009915825e-05	0.999972831479358	18	138	tetrapyrrole binding	MF	0.0354770999906835	1
GO:0120192	0.000110476505494847	0.999975208072339	14	41	tight junction assembly	BP	0.0408896981246686	1
GO:0120193	0.000110476505494847	0.999975208072339	14	41	tight junction organization	BP	0.0408896981246686	1
GO:0005975	0.00012320160562731	0.999940192548324	44	271	carbohydrate metabolic process	BP	0.0442583650332932	1
GO:0035150	0.000172526971444416	0.99995549540659	15	53	regulation of tube size	BP	0.0602069836920599	1
GO:0016052	0.000177685743821191	0.999946654142618	18	70	carbohydrate catabolic process	BP	0.0602848243064451	1
GO:0004497	0.000195451800449055	0.999944822556074	15	111	monooxygenase activity	MF	0.064520224072561	1
GO:0035151	0.000211859363393181	0.999947301345772	14	49	regulation of tube size, open tracheal system	BP	0.0680960595916925	1
GO:0060857	0.000229638015904398	0.999972961652162	8	16	establishment of glial blood-brain barrier	BP	0.0717300748027912	1
GO:0006820	0.000234911003120325	0.999905645363507	26	181	anion transport	BP	0.0717300748027912	1
GO:0030545	0.000261601285321702	0.99992375286546	15	119	signaling receptor regulator activity	MF	0.0779316609492503	1
GO:0030414	0.000273258637840058	0.999924530550606	14	100	peptidase inhibitor activity	MF	0.078573292380868	1
GO:0046364	0.000276621219287484	0.999978931592036	6	11	monosaccharide biosynthetic process	BP	0.078573292380868	1
GO:0004364	0.000302104095695429	0.999940845432026	10	40	glutathione transferase activity	MF	0.083861350564181	1
GO:0016765	0.000336399118742574	0.999904060096217	15	68	transferase activity, transferring alkyl or aryl (other than methyl) groups	MF	0.0898222028160482	1
GO:0006811	0.000338285682785182	0.999810173909664	56	548	ion transport	BP	0.0898222028160482	1
GO:0016053	0.000370939131509265	0.999864197060847	21	123	organic acid biosynthetic process	BP	0.0935849446294433	1
GO:0046394	0.000370939131509265	0.999864197060847	21	123	carboxylic acid biosynthetic process	BP	0.0935849446294433	1
GO:0005102	0.000375443121568915	0.999812988948923	40	275	signaling receptor binding	MF	0.0935849446294433	1
GO:0006749	0.000405495303618256	0.999901318464334	12	53	glutathione metabolic process	BP	0.0990543927678677	1
GO:0006575	0.000429985218333313	0.999865891640523	16	89	cellular modified amino acid metabolic process	BP	0.102977244249472	1
GO:0004175	0.000537204434512668	0.99973973533994	34	344	endopeptidase activity	MF	0.126181056983418	1
GO:0005342	0.000580015801457091	0.999811906807799	16	102	organic acid transmembrane transporter activity	MF	0.129372859632466	1
GO:0046943	0.000580015801457091	0.999811906807799	16	102	carboxylic acid transmembrane transporter activity	MF	0.129372859632466	1
GO:0008061	0.000582569778924647	0.999852391910942	11	123	chitin binding	MF	0.129372859632466	1
GO:0004866	0.000604217121836993	0.999828084136855	13	97	endopeptidase inhibitor activity	MF	0.131784070109233	1
GO:2000104	0.000698270172512204	0.999948699825555	5	10	negative regulation of DNA-templated DNA replication	BP	0.149625822580071	1
GO:0061135	0.000887254526159409	0.999736318647138	13	99	endopeptidase regulator activity	MF	0.18615982604996	1
GO:0006094	0.000914490712542788	0.999928500557612	5	10	gluconeogenesis	BP	0.18615982604996	1
GO:0019319	0.000914490712542788	0.999928500557612	5	10	hexose biosynthetic process	BP	0.18615982604996	1
GO:0031012	0.000999390234523923	0.999589613094509	21	272	extracellular matrix	CC	0.200107415155331	1
GO:0061134	0.00113001783213013	0.999636956310371	14	107	peptidase regulator activity	MF	0.222245371194736	1
GO:0004867	0.00114634504546163	0.99973649286905	9	80	serine-type endopeptidase inhibitor activity	MF	0.222245371194736	1
GO:0006573	0.00117460738475034	0.99996682891	4	5	valine metabolic process	BP	0.224166478083449	1
GO:0019318	0.00121361049367212	0.999623766987506	14	63	hexose metabolic process	BP	0.228046747226328	1
GO:0035633	0.00130133496778582	1	2	2	maintenance of blood-brain barrier	BP	0.240581510020242	1
GO:1901681	0.00131971190202687	0.999653508906244	11	50	sulfur compound binding	MF	0.240581510020242	1
GO:0005918	0.00135379745696495	0.999663229371203	11	35	septate junction	CC	0.243165913814264	1
GO:0043297	0.00145181036696669	0.999559494043541	14	47	apical junction assembly	BP	0.25699147568306	1
GO:0030001	0.00150904314009836	0.99927906604439	28	261	metal ion transport	BP	0.263306470188019	1
GO:0016705	0.00155901408934461	0.999375654946474	19	174	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	MF	0.268194339257113	1
GO:0015179	0.00162967441294066	0.999660149066872	8	43	L-amino acid transmembrane transporter activity	MF	0.276456156661906	1
GO:0003333	0.00169752113138157	0.999565868824336	10	53	amino acid transmembrane transport	BP	0.284020864365678	1
GO:0098656	0.00176780098849052	0.999388965308968	15	87	anion transmembrane transport	BP	0.291782719911125	1
GO:0015711	0.00185365368182639	0.999303651100608	17	106	organic anion transport	BP	0.301873680931034	1
GO:0032501	0.0018864418247809	0.998503082438522	356	3567	multicellular organismal process	BP	0.303171058524657	1
GO:0022804	0.00196513408068829	0.999000805642729	32	246	active transmembrane transporter activity	MF	0.311716203396452	1
GO:0009135	0.00206864327056859	0.99953499639083	9	30	purine nucleoside diphosphate metabolic process	BP	0.31583011133406	1
GO:0009179	0.00206864327056859	0.99953499639083	9	30	purine ribonucleoside diphosphate metabolic process	BP	0.31583011133406	1
GO:0046031	0.00206864327056859	0.99953499639083	9	30	ADP metabolic process	BP	0.31583011133406	1
GO:0042063	0.00220282623034123	0.999103364400338	20	94	gliogenesis	BP	0.331882975248138	1
GO:0021782	0.00222813197726767	0.999484184172172	9	33	glial cell development	BP	0.331882975248138	1
GO:0009617	0.00229823971950609	0.99873130732225	40	284	response to bacterium	BP	0.336466176731929	1
GO:0050830	0.00231472946779333	0.999432848958622	9	48	defense response to Gram-positive bacterium	BP	0.336466176731929	1
GO:0070160	0.00234154454087227	0.99936062907015	11	39	tight junction	CC	0.336466176731929	1
GO:0005996	0.00241249834765893	0.999148736146166	15	75	monosaccharide metabolic process	BP	0.342294471489569	1
GO:0030312	0.00245114029688783	0.9989127357027	21	306	external encapsulating structure	CC	0.342294471489569	1
GO:0030046	0.00247438529598775	0.999975651147995	2	3	parallel actin filament bundle assembly	BP	0.342294471489569	1
GO:0042742	0.00249420402510002	0.998641777330903	38	255	defense response to bacterium	BP	0.342294471489569	1
GO:0006006	0.00264346830412524	0.999252387980491	11	44	glucose metabolic process	BP	0.358748020739841	1
GO:0009611	0.00275484655925018	0.998692879089159	27	126	response to wounding	BP	0.368179515860704	1
GO:0035152	0.00277325327158873	0.998850666676198	20	91	regulation of tube architecture, open tracheal system	BP	0.368179515860704	1
GO:0015171	0.00288040794410969	0.999193428454024	10	64	amino acid transmembrane transporter activity	MF	0.37829357665974	1
GO:1901018	0.00294592195681465	0.999620431119286	5	18	positive regulation of potassium ion transmembrane transporter activity	BP	0.380927508402956	1
GO:0045499	0.0029628388159719	0.999926384733619	3	4	chemorepellent activity	MF	0.380927508402956	1
GO:0008378	0.00316876196074952	0.999460238820665	6	27	galactosyltransferase activity	MF	0.400017828417867	1
GO:1901016	0.00317682408355437	0.999578513628612	5	19	regulation of potassium ion transmembrane transporter activity	BP	0.400017828417867	1
GO:0009185	0.00329734362602916	0.99919345344445	9	32	ribonucleoside diphosphate metabolic process	BP	0.407222273641183	1
GO:0048060	0.00332471241034381	0.999836462995379	3	7	negative gravitaxis	BP	0.407222273641183	1
GO:0006090	0.00333406151662996	0.999033590165842	11	42	pyruvate metabolic process	BP	0.407222273641183	1
GO:0006082	0.00341129037784225	0.997932049170629	51	388	organic acid metabolic process	BP	0.412529709653122	1
GO:0009986	0.0035244087716221	0.998723042119672	14	98	cell surface	CC	0.419628804521805	1
GO:0009069	0.00353870696460995	0.999545290539163	5	15	serine family amino acid metabolic process	BP	0.419628804521805	1
GO:1901679	0.00369691818984284	1	3	3	nucleotide transmembrane transport	BP	0.434174603564812	1
GO:1903818	0.00380044843225827	0.999610540073559	4	16	positive regulation of voltage-gated potassium channel activity	BP	0.442082639539071	1
GO:0044262	0.00388219830055995	0.998322834662021	20	103	cellular carbohydrate metabolic process	BP	0.443796547543135	1
GO:0007249	0.00392657478809348	0.999565472738067	5	10	I-kappaB kinase/NF-kappaB signaling	BP	0.443796547543135	1
GO:0005979	0.00399685772308374	0.999889079143126	3	4	regulation of glycogen biosynthetic process	BP	0.443796547543135	1
GO:0010962	0.00399685772308374	0.999889079143126	3	4	regulation of glucan biosynthetic process	BP	0.443796547543135	1
GO:0032885	0.00399685772308374	0.999889079143126	3	4	regulation of polysaccharide biosynthetic process	BP	0.443796547543135	1
